review_id,data,facility_id,facility_type,province,room,service,location,price,food_and_beverage,amenities,cleanliness,transportation,policy,others
182,công tác bốn đêm ưu điểm khách sạn vị trí thuận tiện xung quanh siêu thị ngân hàng nhà hàng quán bar tầng thượng quầy bar hồ bơi ghế nằm phòng xông hơi ướt lý tưởng thư giãn nhược điểm phòng nhỏ bữa sáng ít món cơ bản hoàn hảo,au_lac_legend,hotel,ho_chi_minh,-1,0,2,0,-1,2,0,0,0,0
1064,không gian tổ chức sự kiện ấm áp,eastin_grand_hotel,hotel,ho_chi_minh,0,0,0,0,0,0,0,0,0,2
9892,"mình đi Lan Rừng đầu tiên ngay lần đầu tiên đi gia đình, xe hơi riêng, ấn tượng bãi đỗ xe rộng rãi, nhân viên bell boy nhiệt tình, mình book phòng bungalow, đến sớm lúc giờ chờ check in chút xíu là được nhận phòng, ấn tượng đầu tiên khá tốt, trải nghiệm tiếp theo thực ăn àlacarte xuất sắc, quá ngon, biển sóng hơi mạnh nhưng tắm được, hồ bơi thì khỏi bàn cãi, quá nhiều bể tắm, thiết kế cầu bắc ngang qua đẹp kiểu Hy Lạp, lần thứ hai đi team building cùng công ty, Long Biên ở phòng cùng đồng nghiệp vẫn ấn tượng, vẫn trải nghiệm tuyệt vời tại Lan Rừng resort này, buffet sáng đa dạng, hợp khẩu vị, thích nhất sữa chua tại đây",lan_rung,resort,ho_chi_minh,1,2,1,0,2,2,0,2,1,0
9751,phòng ốc sạch sẽ ngăn nắp cách bày trí rất ưng mắt dịch vụ rất tốt nói chung năm sao,imperial,resort,ho_chi_minh,2,2,0,0,0,0,2,0,0,2
11634,tổng thể resort trải nghiệm thú vị đáng chọn du lịch ngắn ngày long hải vị trí resort đẹp tuyến đường chính riêng tư gần địa điểm vui chơi ăn uống long hải bãi biển resort nhìn rõ đèo nước ngọt phòng thiết kế tạm diện tích nhỏ giá tiền hồ bơi ổn chưa đặc sắc phòng gym bé trang bị tập,palace_long_hai,resort,ho_chi_minh,-1,0,2,0,0,0,0,0,0,2
17763,cũ kỹ,continental,hotel,ho_chi_minh,0,0,0,0,0,0,0,0,0,-1
1854,không gian sang trọng chỉnh chu tiêu chuẩn khách sạn 5 sao thức ăn teabreak ngon buffet đa dạng món ăn,lotte,hotel,ho_chi_minh,0,0,0,0,2,0,0,0,0,2
9126,bãi biển dơ nhếch nhác thích hợp phục vụ nhu cầu người dân địa phương tắm biển nhậu bờ hải sản hên xui mua giá hên xui xui nhiều hên,hotram_beach_boutique,resort,ho_chi_minh,0,0,-2,0,1,0,-2,0,0,-2
8815,cảnh đẹp thanh bình thích hợp nghĩ dưỡng nhân viên buồng phòng cần đào tạo về sự vui vẻ hơn ăn sáng kết hợp giữa buffet và alacarte nên bữa ăn sáng hơi bình thường,Fleur de Lys,resort,ho_chi_minh,0,-1,0,0,0,0,0,0,0,2
13552,nơi đáng gia đình chữa lành mọi thứ chất lượng,tran_chau,resort,ho_chi_minh,0,0,0,0,0,0,0,0,0,2
10412,trải nghiệm của mình khách sạn có vị trí đẹp ngay biển khách sạn chia thành 2 khu vực bên đồi và bên biển tất cả tiện ích đều nằm bên biển hết như hồ bơi bãi tắm riêng phòng trò chơi trẻ em nhà hàng ai đặt bên đồi thì hơi bất tiện mỗi lần sử dụng dịch vụ phải qua bên biển đường dốc nhiều cầu thang và phải băng qua đường vì thế nên giá bên khu đồi hạt dẻ hơn có trẻ em và người già thì nên suy nghĩ kỹ khi đặt bên đồi tiện ích thì bình thường hồ hơi nhỏ bãi tắm riêng cũng nhỏ hồ bơi nước mặn đang không sử dụng được gia đình mình đi chỉ sử dụng tiện ích hồ bơi và nhà hàng bị mất điểm không đáng ở chỗ là phao cho trẻ em không được miễn phí 100k/giờ điều này không đáng cho 1 resort lớn như vậy vì phao không phải quá mắc mà phải trả thêm phí và mất công nhân viên hồ bơi phải đi nhắc nhở hoài khi đa số người không biết nó sẽ tính phí và lôi ra sử dụng cảnh không nhiều vì đa số phòng nhà hàng hồ bơi đã chiếm hết diện tích rồi buffet sáng thì không nhiều món nhưng nói chung là ngon món hủ tiếu rất vừa vị nhân viên khách sạn thì lịch sự vui vẻ chỉ trừ một chú dẫn qua đường không vui vẻ lắm hơi khó chịu qua lại 6 lần nhưng chỉ có 1 lần được dắt qua cảm giác không an toàn,mecure,resort,ho_chi_minh,0,1,2,1,1,-1,0,1,-1,0
19396,nhân viên rất lịch sự và chuyên nghiệp vị trí tuyệt vời vì nằm ngay giữa quận và rất gần các nguồn như máy atm và máy đổi tiền cũng chỉ mất chưa đầy phút đi bộ đến vincom nếu bạn muốn trốn đến một trung tâm mua sắm trong nhà khi trời quá nóng,signature_m,hotel,ho_chi_minh,0,2,2,0,0,0,0,0,0,0
16041,được hồ bơi đẹp thôi chứ đồ ăn bình thường nhưng thái độ nhân viên phục vụ không chuyên nghiệp thậm chí ngồi chưa được 2 tiếng đã bị nhân viên ra đuổi khéo để chừa chỗ cho tối khách khác tới trong khi lúc đó nhà hàng rất vắng người nhân viên phải kêu và đợi rất lâu mới có người ra chọn món nội thất dĩa nĩa trong nhà hàng cũng cũ bàn sắt còn mốc rêu xanh trên mặt bàn nói chung không đáng với tầm giá nhà hàng hạng sang,la_vela,hotel,ho_chi_minh,0,-2,0,-2,1,2,-1,0,0,0
1459,khách sạn không gian đẹp rộng rãi thức ăn ngon,equatorial,hotel,ho_chi_minh,0,0,0,0,2,0,0,0,0,2
17644,khách sạn đẹp trung tâm,continental,hotel,ho_chi_minh,0,0,2,0,0,0,0,0,0,2
14624,ba sao phòng đẹp hồ bơi đáng trải nghiệm,mira,hotel,ho_chi_minh,2,0,0,0,0,2,0,0,0,2
12005,thái độ nhân viên lễ tân nghiệp vụ tệ đoàn 18 khách mang 12 ly trà đón tiếp xin thêm đợi không mang đích thân xin không mang tập trung khách mới đến tìm phòng chăm sóc nhiệt tình khách đặt trước đến sớm chờ check in ngó lơ không đủ phòng check in không lên phòng bạn chờ thanh toán đủ phòng thái độ nhân viên lọc cộc khó chịu phòng cách âm tệ phòng khác mở nhạc ỳ ầm không ngủ phòng vệ sinh tệ bụi bám lọc gió mùi móc nhận phòng kiểm tra vật dụng list khách sạn tránh charge phí oan phát hiện kệ toilet hỏng báo lễ tân báo kiểm tra liền không sử dụng toilet không ai lên không báo hồ bơi làm có đủ điều kiện 4 sao không gian nhỏ tù túng bờ vài ghế vật dụng lung tung,premier_pearl,hotel,ho_chi_minh,-1,-2,0,0,0,-1,-1,0,-1,-2
16628,vị trí đắc địa trung tâm quận 1 thành phố hồ chí minh đối diện nhà hát lớn thành phố một mặt giáp đường đồng khởi thuận tiện đi lại,caravelle,hotel,ho_chi_minh,0,0,2,0,0,0,0,0,0,0
12345,khách sạn sang trọng đẹp đẳng cấp vị trí bãi thuận tiện hường tổng đài hỗ trợ nhiệt tình hài lòng giới thiệu bạn bè,pullman,hotel,ho_chi_minh,2,2,1,0,0,0,0,0,0,2
12413,buffet tối ngon khách sạn ăn sáng ngon chuẩn năm sao phòng đẹp điểm trừ tắm biển xe chở,pullman,hotel,ho_chi_minh,2,0,0,0,2,0,0,2,0,0
14079,resort hồ bơi nước mặn bãi tắm riêng tuyệt gia đình trẻ em,vietsovpetro,resort,ho_chi_minh,0,0,2,0,0,2,0,0,0,2
18448,mình trải nghiệm buffet ở đây ngon dịch vụ tốt các bạn nhân viên hảo hiếu bình rất thân thiện dễ thương rất tuyệt vời mọi người hãy thử một lần nhé,mai_house,hotel,ho_chi_minh,0,2,0,0,2,0,0,0,0,2
1927,khách sạn 5 sao nội thất bình thường hồ bơi hài lòng chất lượng đồ ăn ngắm view đẹp,lotte,hotel,ho_chi_minh,0,0,2,0,2,2,0,0,0,0
8146,trải nghiệm resort khuôn viên bãi biển riêng đẹp phòng sạch nhân viên nhiệt tình thân thiện,camelia,resort,ho_chi_minh,2,2,2,0,0,0,2,0,0,0
16915,sang trọng thức ăn ngon,caravelle,hotel,ho_chi_minh,0,0,0,0,2,0,0,0,0,1
7672,quán bar câu lạc bộ gần ồn ào tiếng ồn 1 giờ sáng không phù hợp tìm kiếm đêm sớm yên tĩnh đồ ăn sáng trung bình,saigon_prince,hotel,ho_chi_minh,0,0,0,0,-1,0,0,0,0,-1
9705,chuyến đi chơi rất vui cám ơn anh nhân viên hùng bộ phận housekeeping chị marry lành ân cần tiếp đón phục vụ gia đình,imperial,resort,ho_chi_minh,0,2,0,0,0,0,0,0,0,2
16332,"Khách sạn tuyệt vời trong một vài đêm. Phòng gọn gàng, sạch sẽ, nhưng thảm trông tệ hơn một chút. Ở rìa trung tâm sầm uất nhưng nằm ở trung tâm. Phòng ăn sáng hơi nhỏ và ồn ào nhưng bữa sáng rất ngon",bay,hotel,ho_chi_minh,2,0,2,0,2,0,1,0,0,0
7177,khách sạn tốt dịch vụ cơ sở vật chất không biết khách sạn chứng chỉ iso mong anh chị phản hồi,des_art,hotel,ho_chi_minh,0,2,0,0,0,2,0,0,0,2
17558,kinh doanh khách sạn ẩm thực du lịch tổng công ty du lịch sài gòn,continental,hotel,ho_chi_minh,0,0,0,0,0,0,0,0,0,1
